epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37165,1.71997,4.11133,1.08873,0,0,0,0,1.47028,4.22649,1.07148,5e-05,5e-05,5e-05
2,6.865,1.22541,3.9813,0.94423,0.00588,0.02445,0.00311,0.00085,1.87765,4.05423,1.07225,0.000111994,0.000111994,0.000111994
3,8.30271,1.00138,3.72274,0.8599,0.05163,0.24472,0.06597,0.02258,1.71307,3.9035,1.01435,0.000173425,0.000173425,0.000173425
4,9.68669,0.94739,3.50301,0.8339,0.05089,0.25527,0.05332,0.01426,1.62098,3.94819,1.01155,0.000234294,0.000234294,0.000234294
5,10.9974,0.85691,3.26466,0.82864,0.07066,0.3611,0.08939,0.02605,1.53843,3.95436,1.01281,0.0002946,0.0002946,0.0002946
6,12.3257,0.90355,3.0538,0.82864,0.06638,0.35291,0.10575,0.02708,1.6148,3.9222,1.03845,0.000354344,0.000354344,0.000354344
7,13.6682,0.84824,2.75471,0.82673,0.07191,0.44715,0.17103,0.04613,1.48361,3.75253,0.99925,0.000413525,0.000413525,0.000413525
8,15.0267,0.82856,2.34863,0.82405,0.0631,0.42584,0.15495,0.04522,1.515,3.63744,1.01119,0.000472144,0.000472144,0.000472144
9,16.4975,0.82107,1.96308,0.81984,0.09618,0.5959,0.37152,0.1408,1.44868,3.39629,0.98448,0.0005302,0.0005302,0.0005302
10,17.9379,0.89508,1.69262,0.82938,0.11972,0.66312,0.47196,0.20194,1.44828,3.31859,0.99458,0.000587694,0.000587694,0.000587694
11,19.8155,0.87266,1.47831,0.82131,0.11782,0.65831,0.48963,0.16643,1.91711,3.26899,1.13624,0.000644625,0.000644625,0.000644625
12,21.4976,0.90563,1.28746,0.83035,0.13498,0.81826,0.6252,0.23239,1.71902,3.12858,1.10243,0.000700994,0.000700994,0.000700994
